candidate_id,query_name,official_id,final_benchmark_group,g_class,design_pattern,collection_name,root_entity,db_name,documents_inserted,loaded_collections_json,elapsed_seconds,load_status,error_message
ldbc_snb_ic7_g4_5de4a081,IC7_RecentLikers,IC7,secondary_affected,G4,explicit_edge_collection,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic7_g4_5de4a081,8584110,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""person_likes_post"": 751677, ""person_likes_comment"": 1438418, ""person_knows_person"": 180623, ""forums"": 90492, ""places"": 1460}",140.95141687698197,completed,
ldbc_snb_ic7_g6_084f8a43,IC7_RecentLikers,IC7,secondary_affected,G6,referenced_or_reverse_indexed_edges,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic7_g6_084f8a43,8584110,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""person_likes_post"": 751677, ""person_likes_comment"": 1438418, ""person_knows_person"": 180623, ""forums"": 90492, ""places"": 1460}",137.76775340700988,completed,
ldbc_snb_ins1_g0_ffbfd07e,INS1_AddPerson,INS1,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ins1_g0_ffbfd07e,3450314,"{""persons"": 9892, ""places"": 1460, ""tags"": 16080, ""organisations"": 7955, ""person_is_located_in_place"": 9892, ""person_has_interest_tag"": 229166, ""person_study_at_organisation"": 7949, ""person_work_at_organisation"": 21654, ""posts"": 1003605, ""comments"": 2052169, ""forums"": 90492}",83.59590939799091,completed,
ldbc_snb_ins1_g3_10a467d5,INS1_AddPerson,INS1,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ins1_g3_10a467d5,3450314,"{""persons"": 9892, ""places"": 1460, ""tags"": 16080, ""organisations"": 7955, ""person_is_located_in_place"": 9892, ""person_has_interest_tag"": 229166, ""person_study_at_organisation"": 7949, ""person_work_at_organisation"": 21654, ""posts"": 1003605, ""comments"": 2052169, ""forums"": 90492}",83.91170887000044,completed,
ldbc_snb_ins2_g4_9fb1f96c,INS2_AddLikeToPost,INS2,primary,G4,explicit_edge_collection,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ins2_g4_9fb1f96c,3909295,"{""persons"": 9892, ""posts"": 1003605, ""person_likes_post"": 751677, ""comments"": 2052169, ""forums"": 90492, ""places"": 1460}",87.76237576900166,completed,
ldbc_snb_ins2_g6_f226f1c0,INS2_AddLikeToPost,INS2,primary,G6,referenced_or_reverse_indexed_edges,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ins2_g6_f226f1c0,3909295,"{""persons"": 9892, ""posts"": 1003605, ""person_likes_post"": 751677, ""comments"": 2052169, ""forums"": 90492, ""places"": 1460}",88.96059482701821,completed,
ldbc_snb_ins3_g4_9ec9f8f6,INS3_AddLikeToComment,INS3,primary,G4,explicit_edge_collection,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ins3_g4_9ec9f8f6,4596036,"{""persons"": 9892, ""comments"": 2052169, ""person_likes_comment"": 1438418, ""posts"": 1003605, ""forums"": 90492, ""places"": 1460}",101.37524060701253,completed,
ldbc_snb_ins3_g6_c1c01729,INS3_AddLikeToComment,INS3,primary,G6,referenced_or_reverse_indexed_edges,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ins3_g6_c1c01729,4596036,"{""persons"": 9892, ""comments"": 2052169, ""person_likes_comment"": 1438418, ""posts"": 1003605, ""forums"": 90492, ""places"": 1460}",96.94588474099874,completed,
ldbc_snb_ins4_g0_63b0def3,INS4_AddForum,INS4,primary,G0,root_with_references,forums,Forum,ldbc_snb_sf1_exec_clean_ldbc_snb_ins4_g0_63b0def3,3573956,"{""forums"": 90492, ""persons"": 9892, ""tags"": 16080, ""forum_has_moderator_person"": 90492, ""forum_has_tag"": 309766, ""posts"": 1003605, ""comments"": 2052169, ""places"": 1460}",84.32169397597318,completed,
ldbc_snb_ins4_g3_b5f0ac72,INS4_AddForum,INS4,primary,G3,root_with_references_or_summaries,forums,Forum,ldbc_snb_sf1_exec_clean_ldbc_snb_ins4_g3_b5f0ac72,3573956,"{""forums"": 90492, ""persons"": 9892, ""tags"": 16080, ""forum_has_moderator_person"": 90492, ""forum_has_tag"": 309766, ""posts"": 1003605, ""comments"": 2052169, ""places"": 1460}",84.54436206800165,completed,
ldbc_snb_ins5_g4_79a744a2,INS5_AddForumMembership,INS5,primary,G4,explicit_edge_collection,forums,Forum,ldbc_snb_sf1_exec_clean_ldbc_snb_ins5_g4_79a744a2,4769487,"{""forums"": 90492, ""persons"": 9892, ""forum_has_member_person"": 1611869, ""posts"": 1003605, ""comments"": 2052169, ""places"": 1460}",102.36792794699431,completed,
ldbc_snb_ins5_g6_9496cfdb,INS5_AddForumMembership,INS5,primary,G6,referenced_or_reverse_indexed_edges,forums,Forum,ldbc_snb_sf1_exec_clean_ldbc_snb_ins5_g6_9496cfdb,4769487,"{""forums"": 90492, ""persons"": 9892, ""forum_has_member_person"": 1611869, ""posts"": 1003605, ""comments"": 2052169, ""places"": 1460}",99.09459166799206,completed,
ldbc_snb_ins6_g0_50983b9d,INS6_AddPost,INS6,primary,G0,root_with_references,posts,Post,ldbc_snb_sf1_exec_clean_ldbc_snb_ins6_g0_50983b9d,6897771,"{""posts"": 1003605, ""persons"": 9892, ""forums"": 90492, ""places"": 1460, ""tags"": 16080, ""post_has_creator_person"": 1003605, ""forum_container_of_post"": 1003605, ""post_is_located_in_place"": 1003605, ""post_has_tag"": 713258, ""comments"": 2052169}",118.50894880000851,completed,
ldbc_snb_ins6_g3_d110d93b,INS6_AddPost,INS6,primary,G3,root_with_references_or_summaries,posts,Post,ldbc_snb_sf1_exec_clean_ldbc_snb_ins6_g3_d110d93b,6897771,"{""posts"": 1003605, ""persons"": 9892, ""forums"": 90492, ""places"": 1460, ""tags"": 16080, ""post_has_creator_person"": 1003605, ""forum_container_of_post"": 1003605, ""post_is_located_in_place"": 1003605, ""post_has_tag"": 713258, ""comments"": 2052169}",117.54551754501881,completed,
