scale_label,run_phase,official_id,query_name,best_config,best_group,best_design_pattern,best_p95_ms
sf3,hot,INS5,INS5_AddForumMembership,G6,primary,referenced_or_reverse_indexed_edges,1.6525435086805365
sf3,hot,INS6,INS6_AddPost,G7,secondary_affected,containment_baseline,2.20732415036764
sf3,hot,INS7,INS7_AddComment,G7,secondary_affected,containment_baseline,1.2418729689670729
sf3,hot,INS8,INS8_AddFriendship,G3,primary,root_with_references_or_summaries,1.566860551247373
sf3,hot,IS1,IS1_ProfileOfPerson,G3,primary,root_with_references_or_summaries,1.229828267241828
sf3,hot,IS2,IS2_RecentMessagesOfPerson,G0,secondary_affected,root_with_references,2.7112717303680247
sf3,hot,IS3,IS3_FriendsOfPerson,G0,primary,root_with_references,2.661645182524808
sf3,hot,IS4,IS4_ContentOfMessage,G1,primary,single_entity_lookup,1.2613651109859347
sf3,hot,IS5,IS5_CreatorOfMessage,G0,primary,root_with_references,1.4240613440051677
sf3,hot,IS6,IS6_ForumOfMessage,G0,secondary_affected,root_with_references,1.3323502091225234
sf3,hot,IS7,IS7_RepliesOfMessage,G7,secondary_affected,containment_baseline,14.036817901069298
